0,1,2
AAPL,4.792804,24.0
MSFT,4.614533,15.0
AMZN,2.847172,31.0
FB,1.942684,33.0
BRK.B,1.635744,
GOOGL,1.581541,30.0
GOOG,1.579517,
JPM,1.567012,23.0
JNJ,1.419832,36.0
V,1.252186,19.0
PG,1.144113,25.0
XOM,1.05996,37.0
UNH,1.03717,21.0
MA,1.035023,20.0
BAC,1.023169,28.0
T,1.011272,21.0
DIS,0.95215,15.0
INTC,0.944703,17.0
HD,0.909087,13.0
VZ,0.898334,20.0
MRK,0.845038,28.0
PFE,0.818092,33.0
CVX,0.805041,42.0
KO,0.797555,26.0
CMCSA,0.774559,19.0
CSCO,0.757459,14.0
PEP,0.708169,22.0
WFC,0.689992,31.0
BA,0.646171,39.0
C,0.643727,31.0
ADBE,0.608069,14.0
WMT,0.598014,29.0
CRM,0.589889,14.0
MDT,0.579955,26.0
MCD,0.578012,25.0
BMY,0.569854,28.0
ABT,0.567947,31.0
NVDA,0.554546,13.0
NFLX,0.540227,26.0
AMGN,0.520217,22.0
PM,0.501566,29.0
PYPL,0.492528,19.0
TMO,0.491501,18.0
COST,0.487332,23.0
ACN,0.482896,15.0
ABBV,0.480504,30.0
HON,0.474061,39.0
NKE,0.46931,17.0
UNP,0.464731,21.0
UTX,0.453471,30.0
NEE,0.448833,30.0
IBM,0.444832,18.0
AVGO,0.443321,26.0
TXN,0.442883,19.0
ORCL,0.437141,18.0
LLY,0.43573,34.0
LIN,0.417663,
SBUX,0.398013,21.0
LMT,0.383674,31.0
QCOM,0.380535,19.0
MMM,0.37806,35.0
GE,0.376411,47.0
DHR,0.375858,33.0
AMT,0.374484,18.0
CVS,0.360155,20.0
MO,0.346349,25.0
LOW,0.333796,14.0
FIS,0.327182,19.0
AXP,0.318875,23.0
BKNG,0.312986,19.0
UPS,0.302568,20.0
CAT,0.297499,38.0
GILD,0.290399,22.0
CHTR,0.290328,20.0
GS,0.289705,32.0
MDLZ,0.288686,26.0
CI,0.286767,63.0
USB,0.285535,27.0
ANTM,0.281605,24.0
TJX,0.277267,15.0
ADP,0.275221,15.0
TFC,0.272692,
BDX,0.272601,33.0
CME,0.270248,17.0
SPGI,0.265662,13.0
INTU,0.261194,59.0
COP,0.259899,31.0
MS,0.252728,24.0
CB,0.25272,23.0
SO,0.25253,34.0
ISRG,0.251788,35.0
D,0.250206,35.0
FISV,0.249921,20.0
DUK,0.24729,34.0
SYK,0.245517,37.0
PNC,0.243444,20.0
ZTS,0.240842,28.0
RTN,0.23435,36.0
MU,0.232439,34.0
AGN,0.231086,31.0
BLK,0.22968,23.0
VRTX,0.220461,26.0
CL,0.220219,22.0
NOC,0.219412,30.0
BSX,0.219189,34.0
CCI,0.21865,21.0
CSX,0.217231,22.0
TGT,0.215564,16.0
PLD,0.214671,10.0
GPN,0.213669,22.0
NOW,0.212802,22.0
AMAT,0.212188,17.0
MMC,0.20752,19.0
SCHW,0.203924,27.0
AMD,0.201756,
DE,0.20071,19.0
ICE,0.195948,54.0
NSC,0.195772,24.0
SLB,0.195427,24.0
ITW,0.192281,21.0
APD,0.189209,12.0
BIIB,0.187978,23.0
EQIX,0.184698,56.0
EOG,0.184281,45.0
AON,0.180036,23.0
EW,0.180016,22.0
KMB,0.179008,22.0
HUM,0.177009,24.0
EL,0.176562,27.0
ECL,0.175597,32.0
COF,0.175452,26.0
AEP,0.174964,31.0
SHW,0.174462,56.0
ILMN,0.174386,15.0
LHX,0.173841,
EMR,0.173378,23.0
WM,0.169514,15.0
PSX,0.169088,31.0
ATVI,0.168126,17.0
BAX,0.166956,64.0
DD,0.166801,31.0
SPG,0.165775,16.0
AIG,0.165025,29.0
EXC,0.164822,26.0
GM,0.162324,31.0
LRCX,0.160702,16.0
PGR,0.160552,23.0
ADI,0.159958,26.0
SRE,0.159252,29.0
ROST,0.156368,16.0
GD,0.1551,39.0
SYY,0.154105,13.0
ADSK,0.153545,63.0
MCO,0.151371,15.0
OXY,0.151287,38.0
KMI,0.150363,24.0
MET,0.148528,23.0
WBA,0.148518,17.0
MAR,0.147946,59.0
DG,0.147745,17.0
BK,0.142722,25.0
ETN,0.142695,18.0
HCA,0.142451,53.0
AFL,0.141947,24.0
ROP,0.141705,44.0
DOW,0.141693,
PRU,0.139322,19.0
VLO,0.138429,37.0
FDX,0.138377,22.0
ALL,0.136972,21.0
MPC,0.135984,38.0
TRV,0.131084,24.0
F,0.130454,30.0
DAL,0.130092,26.0
NEM,0.130045,25.0
WELL,0.127281,16.0
CTSH,0.12528,19.0
XEL,0.123928,29.0
ORLY,0.122638,13.0
TEL,0.121667,9.0
PSA,0.11928,18.0
EA,0.119087,15.0
APH,0.118432,24.0
GIS,0.118194,22.0
HPQ,0.116698,11.0
IR,0.116383,25.0
STZ,0.115892,23.0
JCI,0.115242,18.0
OKE,0.114754,69.0
HLT,0.114633,21.0
TDG,0.114283,41.0
INFO,0.113806,23.0
VFC,0.113403,13.0
YUM,0.113044,20.0
TROW,0.112785,23.0
REGN,0.111949,25.0
ZBH,0.111396,34.0
WEC,0.109603,33.0
PPG,0.10923,31.0
AVB,0.108817,67.0
