0,1,2,c3
CBRE,0.074289,7.0,0.005506543369036322
TEL,0.12166700000000001,9.0,0.011595028505902395
PLD,0.214671,10.0,0.022731594017464544
PEAK,0.065042,10.0,0.006887322172458922
KEYS,0.070226,10.0,0.007436257908476064
CDW,0.07579,11.0,0.008827975188274157
RHI,0.027122000000000004,11.0,0.0031591548100853907
HPQ,0.116698,11.0,0.013592915272743337
REG,0.038331,11.0,0.004464772620949158
BBY,0.074812,12.0,0.009506245435859848
APD,0.189209,12.0,0.024042495758349006
AZO,0.098946,12.0,0.01257291558702599
MTD,0.074169,12.0,0.00942454041774433
HAS,0.048013,12.0,0.006100937845692387
SPGI,0.265662,13.0,0.036570365577222666
VFC,0.113403,13.0,0.015610772965474105
GPC,0.05363300000000001,13.0,0.007382984457706346
AVB,0.10881700000000001,13.0,0.014979475690978156
NVDA,0.554546,13.0,0.07633741351561953
AAP,0.039445999999999995,13.0,0.005430037568636557
KMX,0.05712999999999999,13.0,0.007864372719571223
SYY,0.154105,13.0,0.02121370834849507
GWW,0.05475,13.0,0.007536747880212227
HD,0.9090870000000001,13.0,0.12514263963796335
ORLY,0.12263800000000001,13.0,0.016882039936684332
GPS,0.014544999999999999,13.0,0.002002228272469166
IPGP,0.01863,14.0,0.002761832921836253
BXP,0.07277,14.0,0.010787900253463453
DLR,0.092913,14.0,0.013774030180707018
HST,0.047381,14.0,0.007024069010709797
KIM,0.030733999999999997,14.0,0.00455620896509476
VTR,0.078699,14.0,0.011666853951454175
ADBE,0.608069,14.0,0.09014412146795751
CSCO,0.757459,14.0,0.11229067112942384
LKQ,0.038892,14.0,0.0057656041865837655
LOW,0.333796,14.0,0.049484099945102195
TPR,0.030195,14.0,0.004476304083459241
M,0.019606000000000002,14.0,0.00290652153867534
CRM,0.589889,14.0,0.08744899948626224
HBI,0.018803999999999998,14.0,0.002787627818690762
TJX,0.277267,15.0,0.04403986247634991
BLL,0.08339400000000001,15.0,0.013245933671705344
CPRI,0.020597999999999998,15.0,0.003271695107199398
ADP,0.275221,15.0,0.043714884896520326
NWL,0.028352,15.0,0.004503306130659157
HSIC,0.037288999999999996,15.0,0.005922819635515989
SLG,0.027393,15.0,0.004350982817337271
ILMN,0.17438599999999999,15.0,0.027698700017675222
WM,0.169514,15.0,0.026924853112039945
EA,0.11908699999999998,15.0,0.018915251734685636
ARE,0.068652,15.0,0.010904379672757213
MCO,0.151371,15.0,0.02404309933352171
MHK,0.030601,15.0,0.004860527331556889
PVH,0.026744999999999998,15.0,0.004248057366834057
STX,0.052877,15.0,0.008398748528176648
MSI,0.10780799999999999,15.0,0.017123745320757
JWN,0.015471,15.0,0.0024573451307642437
DIS,0.95215,15.0,0.15123528965530184
MSFT,4.614533,15.0,0.7329519874798602
ACN,0.482896,15.0,0.07670106226265466
KSS,0.027167,16.0,0.004602758376659795
ICE,0.195948,16.0,0.03319841345712569
LB,0.016557,16.0,0.002805163265813532
PAYX,0.10172,16.0,0.017233871317180197
WELL,0.127281,16.0,0.021564533770369765
ESS,0.072776,16.0,0.01233004540876038
CAH,0.058276999999999995,16.0,0.009873557990083662
JNPR,0.030860000000000002,16.0,0.00522844346095341
TGT,0.21556399999999998,16.0,0.03652184660456775
EQR,0.104525,16.0,0.017709107347898743
ANSS,0.083082,16.0,0.014076135438202566
IPG,0.033268,16.0,0.005636417921548866
ROST,0.156368,16.0,0.02649258739800268
LRCX,0.160702,16.0,0.027226873657230553
EXR,0.051133,16.0,0.008663188577087838
TSCO,0.039462,16.0,0.006685833955156949
FRT,0.032744999999999996,16.0,0.005547808850580667
UAA,0.014013,16.0,0.002374147058274145
DXC,0.033599000000000004,16.0,0.005692497467419754
NWSA,0.020326,16.0,0.003443724620458166
IRM,0.032327,16.0,0.005476989363650061
SPG,0.165775,16.0,0.028086364703161098
INTC,0.9447030000000001,17.0,0.17005943330602352
ATVI,0.168126,17.0,0.03026497458355537
WBA,0.148518,17.0,0.026735266973582174
DG,0.14774500000000002,17.0,0.026596116423678602
SBAC,0.102747,17.0,0.018495862290999393
HOG,0.020583,17.0,0.00370522091677266
VNO,0.03871,17.0,0.0069683283140586725
ADS,0.016991,17.0,0.0030586118931586388
DRE,0.047351,17.0,0.00852382624642191
HPE,0.074791,17.0,0.013463400747526794
CDNS,0.074559,17.0,0.013421637581190922
AMAT,0.21218800000000002,17.0,0.0381967359417071
CME,0.270248,17.0,0.048648328344555104
ULTA,0.057604999999999996,17.0,0.010369686193008262
NDAQ,0.045607,17.0,0.008209882444310873
NKE,0.46931000000000006,17.0,0.08448220514262143
A,0.100606,18.0,0.01917577383949331
FFIV,0.030156,18.0,0.005747814602546173
ABC,0.050496,18.0,0.009624673238167248
OMC,0.062981,18.0,0.012004347774338788
ETN,0.14269500000000002,18.0,0.027198050295474407
ORCL,0.437141,18.0,0.08332024881189934
AMT,0.37448400000000004,18.0,0.0713776563078625
JCI,0.11524200000000001,18.0,0.021965434753502655
IBM,0.44483199999999995,18.0,0.08478617407082567
XYL,0.054025,18.0,0.010297310117474364
TIF,0.052272000000000006,18.0,0.009963183608711155
CTXS,0.052248,18.0,0.009958609144244344
PSA,0.11928,18.0,0.022735088400043357
WDC,0.07312300000000001,18.0,0.01393744021693805
TMO,0.491501,18.0,0.09368141082922292
O,0.09034099999999999,18.0,0.017219237266501652
URI,0.044135,19.0,0.008879596749097529
VIAC,0.078195,19.0,0.015732186876530673
CTSH,0.12528,19.0,0.025205299212120502
V,1.252186,19.0,0.25192946040252495
KLAC,0.104644,19.0,0.02105350679081368
CMCSA,0.774559,19.0,0.15583486073148822
AVY,0.040956,19.0,0.008240008257755487
LVS,0.090189,19.0,0.018145280417001405
PRU,0.139322,19.0,0.028030433403823857
QCOM,0.380535,19.0,0.07656049278164333
CMI,0.097732,19.0,0.019662869592903583
APTV,0.084884,19.0,0.017077958319936436
DGX,0.051734,19.0,0.01040845266155685
PYPL,0.49252799999999997,19.0,0.09909255755385765
EXPD,0.050589999999999996,19.0,0.010178289329032376
PKG,0.037331,19.0,0.007510688257404778
MMC,0.20751999999999998,19.0,0.041751306613180446
MAA,0.055116,19.0,0.011088883072918531
DE,0.20071,19.0,0.04038119097114229
AIV,0.028447000000000004,19.0,0.005723300979303896
UDR,0.050364,19.0,0.01013281999935534
FIS,0.32718200000000003,19.0,0.06582631071855054
JKHY,0.041332,19.0,0.008315656346067726
TXN,0.44288299999999997,19.0,0.08910439440422704
BKNG,0.312986,19.0,0.06297019300131504
TAP,0.038461,19.0,0.007738034905789964
WY,0.084242,19.0,0.016948793232977773
CVS,0.360155,20.0,0.07627390046499008
T,1.011272,20.0,0.21416795510552805
NVR,0.048846,20.0,0.010344643117860104
FISV,0.249921,20.0,0.05292845990784742
BEN,0.026386,20.0,0.005588047195427603
CHTR,0.29032800000000003,20.0,0.06148588517221652
WAT,0.055748,20.0,0.01180635393961563
UPS,0.302568,20.0,0.06407808170340859
ANET,0.043376,20.0,0.009186202347793061
PNC,0.243444,20.0,0.05155675591009162
NTAP,0.054311,20.0,0.011502024984115386
SEE,0.022522,20.0,0.0047697263296983435
BR,0.053724,20.0,0.01137770967661459
MA,1.035023,20.0,0.21919795999215735
CCL,0.074135,20.0,0.015700366816987242
LDOS,0.050210000000000005,20.0,0.010633512077708632
MCK,0.10247300000000001,20.0,0.02170181006052652
YUM,0.113044,20.0,0.02394054449935261
CERN,0.087375,20.0,0.0185043441105316
RF,0.058463,20.0,0.012381338709402105
SNPS,0.080942,20.0,0.017141958466319298
FLT,0.096502,20.0,0.02043726712852098
KR,0.081509,20.0,0.01726203815857305
ADSK,0.15354500000000001,20.0,0.03251787715538283
VZ,0.898334,20.0,0.19024985936698477
EBAY,0.099989,20.0,0.021175746646843425
LH,0.063048,20.0,0.01335235350478737
DLTR,0.078298,20.0,0.01658201013065984
GLW,0.085215,20.0,0.018046897663850647
PKI,0.040605,21.0,0.0090293257480806
HIG,0.078872,21.0,0.017538750902662555
SBUX,0.398013,21.0,0.08850607139442934
LNC,0.043033999999999996,21.0,0.009569461993422006
DFS,0.09666699999999999,21.0,0.021495821502024563
UNP,0.46473100000000006,21.0,0.10334213974218066
DHI,0.067564,21.0,0.01502419319894884
UNH,1.0371700000000001,21.0,0.23063528595337415
WU,0.042464999999999996,21.0,0.009442933576954627
DVA,0.026003,21.0,0.005782281921619008
DISH,0.034174,21.0,0.007599265561258625
ALL,0.136972,21.0,0.03045843630996419
CCI,0.21865,21.0,0.04862115687274531
JBHT,0.037154,21.0,0.008261927566658948
MAS,0.051385,21.0,0.011426472197146206
GRMN,0.051701,21.0,0.011496741054094694
ITW,0.192281,21.0,0.042757487604154314
AKAM,0.056886,21.0,0.012649728469531166
CBOE,0.047531,22.0,0.011072766556903523
FAST,0.07725900000000001,22.0,0.017998166910433388
WLTW,0.095207,22.0,0.022179312145402235
RCL,0.083162,22.0,0.01937332293461553
SYF,0.076784,22.0,0.017887511462104315
VRSK,0.095163,22.0,0.022169061956504383
KSU,0.058852999999999996,22.0,0.013710326527391448
GPN,0.213669,22.0,0.0497760820821573
PEP,0.7081689999999999,22.0,0.16497422776368706
DRI,0.050062,22.0,0.011662385377368542
ROL,0.018231,22.0,0.004247072586289119
AMGN,0.520217,22.0,0.1211891481334851
PFG,0.052654999999999993,22.0,0.012266447645825984
GILD,0.29039899999999996,22.0,0.06765101376697788
CL,0.220219,22.0,0.05130196247490557
CSX,0.217231,22.0,0.05060588146520606
NOW,0.212802,22.0,0.049574106769101914
EW,0.180016,22.0,0.04193631828717142
KMB,0.179008,22.0,0.04170149577787519
FTNT,0.061392999999999996,22.0,0.014302041977403757
ROK,0.087238,22.0,0.02032286316069827
GIS,0.11819400000000001,22.0,0.027534336968013613
FDX,0.138377,22.0,0.03223614520722557
PHM,0.038856,22.0,0.009051848632156767
COO,0.062234000000000005,22.0,0.014497960360655865
HBAN,0.055264,23.0,0.013459429858232688
JPM,1.567012,23.0,0.38164244537147
STZ,0.11589200000000001,23.0,0.028225250527111733
MSCI,0.084504,23.0,0.020580769773090892
COST,0.487332,23.0,0.1186886738504678
XLNX,0.093137,23.0,0.022683318592686342
AXP,0.318875,23.0,0.07766132918435055
CLX,0.07178999999999999,23.0,0.017484302068661778
CB,0.25272,23.0,0.06154941940092221
INFO,0.11380599999999999,23.0,0.027717209656304812
BLK,0.22968000000000002,23.0,0.05593807632163586
NLSN,0.027736,23.0,0.006755043908293679
MET,0.148528,23.0,0.03617367903126058
TROW,0.112785,23.0,0.02746854727418887
PGR,0.160552,23.0,0.03910209870076315
BIIB,0.187978,23.0,0.04578164276727823
AON,0.180036,23.0,0.04384738553048603
LEN,0.065242,23.0,0.015889550571996543
EMR,0.173378,23.0,0.04222584376738324
EXPE,0.05615,23.0,0.01367521327699344
RSG,0.07191900000000001,24.0,0.018277272777137473
VRSN,0.081066,24.0,0.02060186313702118
CPRT,0.072382,24.0,0.018394938168700407
ALLE,0.04362,24.0,0.011085452224568425
MXIM,0.061271000000000006,24.0,0.015571222908104816
AAPL,4.792804,24.0,1.2180284219101432
ES,0.102389,24.0,0.02602082457178671
CPB,0.029477,24.0,0.007491193838230248
AFL,0.141947,24.0,0.03607397264834512
TRV,0.13108399999999998,24.0,0.033313283342625566
APH,0.118432,24.0,0.03009794309628812
BWA,0.031262,24.0,0.00794482823118886
HUM,0.177009,24.0,0.044984521155860435
SLB,0.195427,24.0,0.04966521485306587
IQV,0.10653499999999999,24.0,0.027074476220641838
NSC,0.195772,24.0,0.04975289208867972
MS,0.252728,24.0,0.06422751420932436
ANTM,0.281605,24.0,0.07156622589866096
TWTR,0.096062,24.0,0.024412900311703165
KMI,0.15036300000000002,24.0,0.038212788923493404
UNM,0.022075,25.0,0.005843825411158585
MAR,0.147946,25.0,0.03916514583371542
BK,0.14272200000000002,25.0,0.03778221745555496
